block,model,config_id,rmse,n_oos,train_end,oos_start,oos_end
block3,lightgbm_with_target_mac,1,1.2532005139035147,20,220,221,240
block3,lightgbm_with_target_mac,2,1.27015326236119,20,220,221,240
block3,lightgbm_with_target_mac,3,1.2126967341168013,20,220,221,240
block3,lightgbm_with_target_mac,4,1.2532005139035147,20,220,221,240
block3,lightgbm_with_target_mac,5,1.27015326236119,20,220,221,240
block3,lightgbm_with_target_mac,6,1.2126967341168013,20,220,221,240
block3,lightgbm_with_target_mac,7,1.2532005139035147,20,220,221,240
block3,lightgbm_with_target_mac,8,1.27015326236119,20,220,221,240
block3,lightgbm_with_target_mac,9,1.2126967341168013,20,220,221,240
block3,lightgbm_with_target_mac,10,1.2532005139035147,20,220,221,240
block3,lightgbm_with_target_mac,11,1.27015326236119,20,220,221,240
block3,lightgbm_with_target_mac,12,1.2126967341168013,20,220,221,240
block3,lightgbm_with_target_mac,13,1.2532005139035147,20,220,221,240
block3,lightgbm_with_target_mac,14,1.27015326236119,20,220,221,240
block3,lightgbm_with_target_mac,15,1.2126967341168013,20,220,221,240
block3,lightgbm_with_target_mac,16,1.27015326236119,20,220,221,240
block3,lightgbm_with_target_mac,17,1.2126967341168013,20,220,221,240
block3,lightgbm_with_target_mac,18,1.2532005139035147,20,220,221,240
block3,lightgbm_with_target_mac,19,1.27015326236119,20,220,221,240
block3,lightgbm_with_target_mac,20,1.2126967341168013,20,220,221,240
block3,lightgbm_with_target_mac,21,1.2532005139035147,20,220,221,240
block3,lightgbm_with_target_mac,22,1.27015326236119,20,220,221,240
block3,lightgbm_with_target_mac,23,1.2126967341168013,20,220,221,240
block3,lightgbm_with_target_mac,24,1.2532005139035147,20,220,221,240
block3,lightgbm_with_target_mac,25,1.27015326236119,20,220,221,240
block3,lightgbm_with_target_mac,26,1.2126967341168013,20,220,221,240
